symptoms,disease,treatment,medicines,prevention,severity,age_group,consultation_needed,specialist_required,confidence_score,symptom_count
"I have been having sneezing, runny nose, nasal congestion, cough, fatigue for a few days",Common Cold,Saline nasal rinse | Rest | Throat lozenges | Use humidifier,Dextromethorphan 15mg | Paracetamol 500mg | Zinc lozenges 10mg,Wash hands frequently | Get adequate sleep | Boost immune system,Severe,Adult,routine,General Practitioner,90,5
"I'm suffering from chest pain, fatigue, headaches, dizziness, shortness of breath",Hypertension,Weight management | Medication therapy | Lifestyle modifications | Low sodium diet,Metoprolol 50mg | Lisinopril 10mg | Amlodipine 5mg,Regular exercise | Limit alcohol | Low sodium diet,Severe,Child,within_week,Cardiologist,91,5
"I am experiencing fatigue, dizziness, chest pain, visual changes, headaches",Hypertension,Medication therapy | Weight management | Lifestyle modifications | Regular exercise,Amlodipine 5mg | Hydrochlorothiazide 25mg | Lisinopril 10mg,Regular exercise | Limit alcohol | Manage stress,Severe,Adult,within_week,Cardiologist,91,5
"I've noticed dizziness, chest pain, visual changes, shortness of breath, headaches recently",Hypertension,Medication therapy | Regular exercise | Low sodium diet | Weight management,Metoprolol 50mg | Amlodipine 5mg | Hydrochlorothiazide 25mg,Maintain healthy weight | Low sodium diet | Limit alcohol,Severe,Child,within_week,Cardiologist,95,5
"I'm suffering from chest pain, dizziness, shortness of breath, fatigue",Hypertension,Low sodium diet | Lifestyle modifications | Weight management | Regular exercise,Hydrochlorothiazide 25mg | Amlodipine 5mg | Lisinopril 10mg,Maintain healthy weight | Regular exercise | Limit alcohol,Severe,Child,within_week,Cardiologist,95,4
"I'm suffering from visual changes, chest pain, fatigue, headaches, dizziness",Hypertension,Low sodium diet | Lifestyle modifications | Weight management | Regular exercise,Lisinopril 10mg | Hydrochlorothiazide 25mg | Amlodipine 5mg,Regular exercise | Manage stress | Low sodium diet,Severe,Child,within_week,Cardiologist,94,5
"I've noticed chest pain, dizziness, visual changes recently",Hypertension,Weight management | Lifestyle modifications | Medication therapy | Low sodium diet,Amlodipine 5mg | Lisinopril 10mg | Metoprolol 50mg,Manage stress | Regular exercise | Maintain healthy weight,Moderate,Adult,within_week,Cardiologist,85,3
"I have been having visual changes, headaches, fatigue, chest pain for a few days",Hypertension,Low sodium diet | Medication therapy | Weight management | Lifestyle modifications,Metoprolol 50mg | Hydrochlorothiazide 25mg | Lisinopril 10mg,Maintain healthy weight | Regular exercise | Manage stress,Moderate,Adult,within_week,Cardiologist,93,4
"I've noticed chest pain, visual changes, headaches, fatigue, dizziness recently",Hypertension,Low sodium diet | Medication therapy | Regular exercise | Weight management,Amlodipine 5mg | Hydrochlorothiazide 25mg | Metoprolol 50mg,Maintain healthy weight | Regular exercise | Limit alcohol,Severe,All Ages,within_week,Cardiologist,95,5
"I'm suffering from fatigue, headaches, dizziness, chest pain, shortness of breath",Hypertension,Low sodium diet | Weight management | Medication therapy | Regular exercise,Amlodipine 5mg | Metoprolol 50mg | Hydrochlorothiazide 25mg,Low sodium diet | Limit alcohol | Manage stress,Severe,All Ages,within_week,Cardiologist,95,5
"I'm suffering from chest pain, visual changes, shortness of breath",Hypertension,Regular exercise | Weight management | Lifestyle modifications | Low sodium diet,Amlodipine 5mg | Lisinopril 10mg | Hydrochlorothiazide 25mg,Limit alcohol | Maintain healthy weight | Low sodium diet,Moderate,Adult,within_week,Cardiologist,94,3
"I feel headaches, fatigue, chest pain",Hypertension,Weight management | Low sodium diet | Lifestyle modifications | Medication therapy,Metoprolol 50mg | Amlodipine 5mg | Hydrochlorothiazide 25mg,Limit alcohol | Manage stress | Low sodium diet,Moderate,All Ages,within_week,Cardiologist,89,3
"I have been having headaches, dizziness, visual changes for a few days",Hypertension,Medication therapy | Regular exercise | Lifestyle modifications | Weight management,Metoprolol 50mg | Lisinopril 10mg | Hydrochlorothiazide 25mg,Regular exercise | Maintain healthy weight | Limit alcohol,Moderate,Adult,within_week,Cardiologist,93,3
"I am experiencing fatigue, chest pain, dizziness, shortness of breath",Hypertension,Lifestyle modifications | Low sodium diet | Weight management | Regular exercise,Amlodipine 5mg | Lisinopril 10mg | Metoprolol 50mg,Manage stress | Regular exercise | Limit alcohol,Severe,Adult,within_week,Cardiologist,88,4
"I've noticed dizziness, chest pain, visual changes recently",Hypertension,Low sodium diet | Medication therapy | Regular exercise | Weight management,Amlodipine 5mg | Hydrochlorothiazide 25mg | Metoprolol 50mg,Low sodium diet | Regular exercise | Manage stress,Moderate,Adult,within_week,Cardiologist,94,3
"I have been having visual changes, shortness of breath, chest pain, dizziness, fatigue for a few days",Hypertension,Medication therapy | Regular exercise | Weight management | Low sodium diet,Hydrochlorothiazide 25mg | Metoprolol 50mg | Lisinopril 10mg,Limit alcohol | Maintain healthy weight | Low sodium diet,Severe,Child,within_week,Cardiologist,95,5
"I feel visual changes, chest pain, headaches, fatigue",Hypertension,Medication therapy | Low sodium diet | Regular exercise | Lifestyle modifications,Hydrochlorothiazide 25mg | Amlodipine 5mg | Lisinopril 10mg,Low sodium diet | Manage stress | Maintain healthy weight,Moderate,Adult,within_week,Cardiologist,88,4
"I have been having dizziness, chest pain, fatigue for a few days",Hypertension,Low sodium diet | Weight management | Regular exercise | Medication therapy,Amlodipine 5mg | Metoprolol 50mg | Hydrochlorothiazide 25mg,Manage stress | Low sodium diet | Regular exercise,Moderate,All Ages,within_week,Cardiologist,90,3
"I've noticed dizziness, chest pain, shortness of breath, fatigue, visual changes recently",Hypertension,Regular exercise | Weight management | Lifestyle modifications | Medication therapy,Metoprolol 50mg | Hydrochlorothiazide 25mg | Lisinopril 10mg,Low sodium diet | Regular exercise | Manage stress,Severe,All Ages,within_week,Cardiologist,95,5
"I am experiencing dizziness, chest pain, visual changes, shortness of breath",Hypertension,Medication therapy | Weight management | Low sodium diet | Regular exercise,Lisinopril 10mg | Hydrochlorothiazide 25mg | Amlodipine 5mg,Regular exercise | Maintain healthy weight | Low sodium diet,Severe,Elderly,within_week,Cardiologist,95,4
"I've noticed dizziness, shortness of breath, visual changes, chest pain, fatigue recently",Hypertension,Low sodium diet | Lifestyle modifications | Regular exercise | Weight management,Lisinopril 10mg | Amlodipine 5mg | Metoprolol 50mg,Low sodium diet | Maintain healthy weight | Limit alcohol,Severe,Elderly,within_week,Cardiologist,95,5
"I feel dizziness, headaches, shortness of breath, visual changes, chest pain",Hypertension,Weight management | Medication therapy | Regular exercise | Lifestyle modifications,Metoprolol 50mg | Lisinopril 10mg | Hydrochlorothiazide 25mg,Maintain healthy weight | Manage stress | Regular exercise,Severe,Child,within_week,Cardiologist,95,5
"I feel dizziness, shortness of breath, headaches",Hypertension,Low sodium diet | Regular exercise | Lifestyle modifications | Weight management,Metoprolol 50mg | Hydrochlorothiazide 25mg | Amlodipine 5mg,Regular exercise | Manage stress | Low sodium diet,Moderate,Adult,within_week,Cardiologist,95,3
"I have been having dizziness, chest pain, shortness of breath, headaches, fatigue for a few days",Hypertension,Regular exercise | Low sodium diet | Lifestyle modifications | Weight management,Metoprolol 50mg | Hydrochlorothiazide 25mg | Amlodipine 5mg,Low sodium diet | Limit alcohol | Manage stress,Severe,Child,within_week,Cardiologist,95,5
"I feel fatigue, headaches, shortness of breath, visual changes",Hypertension,Low sodium diet | Lifestyle modifications | Medication therapy | Regular exercise,Lisinopril 10mg | Hydrochlorothiazide 25mg | Metoprolol 50mg,Regular exercise | Manage stress | Limit alcohol,Severe,Elderly,within_week,Cardiologist,85,4
"I feel chest pain, shortness of breath, headaches, fatigue, dizziness",Hypertension,Low sodium diet | Weight management | Regular exercise | Medication therapy,Amlodipine 5mg | Metoprolol 50mg | Lisinopril 10mg,Regular exercise | Low sodium diet | Maintain healthy weight,Severe,All Ages,within_week,Cardiologist,94,5
"I feel dizziness, visual changes, chest pain",Hypertension,Weight management | Low sodium diet | Lifestyle modifications | Regular exercise,Hydrochlorothiazide 25mg | Metoprolol 50mg | Lisinopril 10mg,Maintain healthy weight | Manage stress | Limit alcohol,Moderate,Adult,within_week,Cardiologist,86,3
"I am experiencing chest pain, visual changes, dizziness",Hypertension,Low sodium diet | Weight management | Lifestyle modifications | Medication therapy,Amlodipine 5mg | Lisinopril 10mg | Hydrochlorothiazide 25mg,Manage stress | Limit alcohol | Low sodium diet,Moderate,All Ages,within_week,Cardiologist,81,3
"I have been having chest pain, headaches, dizziness, shortness of breath, visual changes for a few days",Hypertension,Lifestyle modifications | Medication therapy | Low sodium diet | Regular exercise,Amlodipine 5mg | Metoprolol 50mg | Hydrochlorothiazide 25mg,Maintain healthy weight | Limit alcohol | Manage stress,Severe,All Ages,within_week,Cardiologist,95,5
"I feel shortness of breath, dizziness, chest pain",Hypertension,Weight management | Medication therapy | Lifestyle modifications | Regular exercise,Metoprolol 50mg | Amlodipine 5mg | Hydrochlorothiazide 25mg,Manage stress | Limit alcohol | Regular exercise,Moderate,Adult,within_week,Cardiologist,84,3
"I've noticed increased thirst, hunger, fatigue recently",Diabetes Type 2,Insulin if needed | Lifestyle changes | Oral medications | Blood glucose monitoring,Sitagliptin 100mg | Metformin 1000mg | Gliclazide 80mg,Regular exercise | Healthy diet | Maintain healthy weight,Moderate,All Ages,within_week,Endocrinologist,81,3
"I've noticed increased thirst, frequent urination, blurred vision, slow healing, hunger recently",Diabetes Type 2,Insulin if needed | Oral medications | Lifestyle changes | Blood glucose monitoring,Metformin 1000mg | Gliclazide 80mg | Sitagliptin 100mg,Regular exercise | Healthy diet | Maintain healthy weight,Moderate,Adult,within_week,Endocrinologist,91,5
"I have been having hunger, frequent urination, slow healing, fatigue, blurred vision for a few days",Diabetes Type 2,Blood glucose monitoring | Oral medications | Lifestyle changes | Insulin if needed,Sitagliptin 100mg | Gliclazide 80mg | Metformin 1000mg,Regular exercise | Healthy diet | Regular screenings,Severe,Child,within_week,Endocrinologist,95,5
"I feel slow healing, fatigue, hunger, blurred vision",Diabetes Type 2,Blood glucose monitoring | Insulin if needed | Oral medications | Lifestyle changes,Insulin if needed | Metformin 1000mg | Sitagliptin 100mg,Healthy diet | Regular screenings | Maintain healthy weight,Severe,Child,within_week,Endocrinologist,95,4
"I'm suffering from fatigue, slow healing, frequent urination, blurred vision, increased thirst",Diabetes Type 2,Oral medications | Insulin if needed | Lifestyle changes | Blood glucose monitoring,Sitagliptin 100mg | Metformin 1000mg | Insulin if needed,Maintain healthy weight | Regular exercise | Healthy diet,Severe,Child,within_week,Endocrinologist,91,5
"I feel blurred vision, slow healing, frequent urination",Diabetes Type 2,Oral medications | Blood glucose monitoring | Lifestyle changes | Insulin if needed,Gliclazide 80mg | Sitagliptin 100mg | Metformin 1000mg,Regular screenings | Maintain healthy weight | Healthy diet,Moderate,Adult,within_week,Endocrinologist,92,3
"I'm suffering from hunger, slow healing, fatigue, frequent urination, blurred vision",Diabetes Type 2,Oral medications | Insulin if needed | Blood glucose monitoring | Lifestyle changes,Metformin 1000mg | Sitagliptin 100mg | Gliclazide 80mg,Healthy diet | Maintain healthy weight | Regular exercise,Severe,All Ages,within_week,Endocrinologist,95,5
"I am experiencing blurred vision, frequent urination, slow healing",Diabetes Type 2,Insulin if needed | Blood glucose monitoring | Lifestyle changes | Oral medications,Sitagliptin 100mg | Metformin 1000mg | Gliclazide 80mg,Regular exercise | Regular screenings | Healthy diet,Moderate,All Ages,within_week,Endocrinologist,88,3
"I have been having slow healing, fatigue, blurred vision, increased thirst, frequent urination for a few days",Diabetes Type 2,Insulin if needed | Lifestyle changes | Oral medications | Blood glucose monitoring,Metformin 1000mg | Sitagliptin 100mg | Insulin if needed,Maintain healthy weight | Regular exercise | Regular screenings,Severe,Child,within_week,Endocrinologist,95,5
"I'm suffering from frequent urination, increased thirst, slow healing, hunger, fatigue",Diabetes Type 2,Insulin if needed | Oral medications | Blood glucose monitoring | Lifestyle changes,Metformin 1000mg | Sitagliptin 100mg | Gliclazide 80mg,Maintain healthy weight | Regular screenings | Regular exercise,Moderate,Child,within_week,Endocrinologist,95,5
"I've noticed slow healing, fatigue, frequent urination, increased thirst, hunger recently",Diabetes Type 2,Blood glucose monitoring | Lifestyle changes | Insulin if needed | Oral medications,Sitagliptin 100mg | Gliclazide 80mg | Metformin 1000mg,Healthy diet | Regular exercise | Regular screenings,Severe,Adult,within_week,Endocrinologist,95,5
"I feel slow healing, increased thirst, blurred vision, fatigue",Diabetes Type 2,Insulin if needed | Oral medications | Blood glucose monitoring | Lifestyle changes,Metformin 1000mg | Sitagliptin 100mg | Insulin if needed,Maintain healthy weight | Regular exercise | Healthy diet,Severe,Child,within_week,Endocrinologist,95,4
"I'm suffering from increased thirst, frequent urination, blurred vision, hunger, fatigue",Diabetes Type 2,Lifestyle changes | Oral medications | Blood glucose monitoring | Insulin if needed,Gliclazide 80mg | Insulin if needed | Metformin 1000mg,Regular exercise | Healthy diet | Maintain healthy weight,Moderate,Child,within_week,Endocrinologist,95,5
"I feel frequent urination, blurred vision, slow healing, hunger",Diabetes Type 2,Oral medications | Blood glucose monitoring | Lifestyle changes | Insulin if needed,Sitagliptin 100mg | Metformin 1000mg | Insulin if needed,Regular screenings | Maintain healthy weight | Healthy diet,Severe,All Ages,within_week,Endocrinologist,95,4
"I have been having increased thirst, hunger, fatigue, frequent urination for a few days",Diabetes Type 2,Insulin if needed | Blood glucose monitoring | Lifestyle changes | Oral medications,Metformin 1000mg | Sitagliptin 100mg | Gliclazide 80mg,Regular exercise | Healthy diet | Maintain healthy weight,Severe,Elderly,within_week,Endocrinologist,87,4
"I'm suffering from fatigue, frequent urination, slow healing",Diabetes Type 2,Lifestyle changes | Insulin if needed | Oral medications | Blood glucose monitoring,Insulin if needed | Gliclazide 80mg | Sitagliptin 100mg,Maintain healthy weight | Regular screenings | Healthy diet,Moderate,All Ages,within_week,Endocrinologist,85,3
"I am experiencing blurred vision, slow healing, fatigue, increased thirst",Diabetes Type 2,Oral medications | Insulin if needed | Lifestyle changes | Blood glucose monitoring,Insulin if needed | Metformin 1000mg | Gliclazide 80mg,Regular screenings | Regular exercise | Maintain healthy weight,Moderate,Adult,within_week,Endocrinologist,92,4
"I'm suffering from fatigue, frequent urination, blurred vision, slow healing, hunger",Diabetes Type 2,Blood glucose monitoring | Lifestyle changes | Oral medications | Insulin if needed,Sitagliptin 100mg | Gliclazide 80mg | Insulin if needed,Regular screenings | Maintain healthy weight | Regular exercise,Severe,Adult,within_week,Endocrinologist,95,5
"I have been having slow healing, fatigue, frequent urination, blurred vision, increased thirst for a few days",Diabetes Type 2,Lifestyle changes | Blood glucose monitoring | Oral medications | Insulin if needed,Sitagliptin 100mg | Gliclazide 80mg | Insulin if needed,Regular screenings | Healthy diet | Maintain healthy weight,Severe,Elderly,within_week,Endocrinologist,95,5
"I feel slow healing, frequent urination, fatigue, blurred vision, increased thirst",Diabetes Type 2,Oral medications | Insulin if needed | Blood glucose monitoring | Lifestyle changes,Sitagliptin 100mg | Gliclazide 80mg | Insulin if needed,Regular screenings | Regular exercise | Maintain healthy weight,Severe,Adult,within_week,Endocrinologist,95,5
"I feel blurred vision, increased thirst, fatigue, hunger, slow healing",Diabetes Type 2,Lifestyle changes | Blood glucose monitoring | Oral medications | Insulin if needed,Sitagliptin 100mg | Metformin 1000mg | Gliclazide 80mg,Regular exercise | Healthy diet | Regular screenings,Severe,Child,within_week,Endocrinologist,95,5
"I've noticed blurred vision, fatigue, slow healing, hunger recently",Diabetes Type 2,Lifestyle changes | Blood glucose monitoring | Insulin if needed | Oral medications,Gliclazide 80mg | Sitagliptin 100mg | Insulin if needed,Regular exercise | Healthy diet | Maintain healthy weight,Severe,Elderly,within_week,Endocrinologist,95,4
"I have been having increased thirst, slow healing, blurred vision, frequent urination for a few days",Diabetes Type 2,Blood glucose monitoring | Insulin if needed | Oral medications | Lifestyle changes,Insulin if needed | Sitagliptin 100mg | Metformin 1000mg,Healthy diet | Maintain healthy weight | Regular exercise,Severe,Elderly,within_week,Endocrinologist,88,4
"I'm suffering from increased thirst, slow healing, frequent urination, fatigue",Diabetes Type 2,Insulin if needed | Lifestyle changes | Blood glucose monitoring | Oral medications,Insulin if needed | Metformin 1000mg | Gliclazide 80mg,Regular screenings | Regular exercise | Maintain healthy weight,Severe,Child,within_week,Endocrinologist,94,4
"I have been having increased thirst, slow healing, hunger, fatigue, blurred vision for a few days",Diabetes Type 2,Blood glucose monitoring | Oral medications | Lifestyle changes | Insulin if needed,Insulin if needed | Gliclazide 80mg | Metformin 1000mg,Regular screenings | Healthy diet | Maintain healthy weight,Severe,All Ages,within_week,Endocrinologist,95,5
"I've noticed increased thirst, blurred vision, frequent urination, fatigue recently",Diabetes Type 2,Insulin if needed | Lifestyle changes | Oral medications | Blood glucose monitoring,Sitagliptin 100mg | Insulin if needed | Metformin 1000mg,Maintain healthy weight | Healthy diet | Regular screenings,Severe,Elderly,within_week,Endocrinologist,95,4
"I feel fatigue, increased thirst, hunger",Diabetes Type 2,Oral medications | Insulin if needed | Blood glucose monitoring | Lifestyle changes,Metformin 1000mg | Gliclazide 80mg | Sitagliptin 100mg,Regular screenings | Healthy diet | Maintain healthy weight,Moderate,Child,within_week,Endocrinologist,89,3
"I am experiencing frequent urination, hunger, increased thirst, fatigue, slow healing",Diabetes Type 2,Oral medications | Insulin if needed | Lifestyle changes | Blood glucose monitoring,Insulin if needed | Sitagliptin 100mg | Metformin 1000mg,Regular screenings | Regular exercise | Maintain healthy weight,Severe,Adult,within_week,Endocrinologist,95,5
"I'm suffering from frequent urination, fatigue, hunger, increased thirst, blurred vision",Diabetes Type 2,Lifestyle changes | Blood glucose monitoring | Insulin if needed | Oral medications,Gliclazide 80mg | Metformin 1000mg | Insulin if needed,Regular screenings | Regular exercise | Healthy diet,Severe,All Ages,within_week,Endocrinologist,95,5
"I'm suffering from frequent urination, increased thirst, blurred vision, fatigue",Diabetes Type 2,Oral medications | Lifestyle changes | Blood glucose monitoring | Insulin if needed,Insulin if needed | Sitagliptin 100mg | Gliclazide 80mg,Maintain healthy weight | Healthy diet | Regular screenings,Moderate,Elderly,within_week,Endocrinologist,93,4
"I am experiencing chest pain, irregular heartbeat, fatigue, swelling in legs, shortness of breath",Heart Disease,Medications | Regular monitoring | Lifestyle changes | Cardiac procedures,Metoprolol 100mg | Atorvastatin 40mg | Aspirin 100mg,Dont smoke | Healthy diet | Maintain healthy weight,Severe,Elderly,urgent,Cardiologist,95,5
"I have been having swelling in legs, irregular heartbeat, chest pain, fatigue, shortness of breath for a few days",Heart Disease,Cardiac procedures | Regular monitoring | Medications | Lifestyle changes,Metoprolol 100mg | Clopidogrel 75mg | Atorvastatin 40mg,Maintain healthy weight | Dont smoke | Regular exercise,Moderate,Adult,urgent,Cardiologist,93,5
"I have been having chest pain, fatigue, irregular heartbeat, swelling in legs for a few days",Heart Disease,Medications | Cardiac procedures | Regular monitoring | Lifestyle changes,Clopidogrel 75mg | Atorvastatin 40mg | Aspirin 100mg,Maintain healthy weight | Dont smoke | Regular exercise,Moderate,All Ages,urgent,Cardiologist,95,4
"I'm suffering from chest pain, irregular heartbeat, fatigue",Heart Disease,Regular monitoring | Medications | Cardiac procedures | Lifestyle changes,Aspirin 100mg | Metoprolol 100mg | Atorvastatin 40mg,Maintain healthy weight | Healthy diet | Regular exercise,Moderate,All Ages,urgent,Cardiologist,86,3
"I'm suffering from irregular heartbeat, fatigue, shortness of breath",Heart Disease,Medications | Cardiac procedures | Regular monitoring | Lifestyle changes,Aspirin 100mg | Clopidogrel 75mg | Metoprolol 100mg,Dont smoke | Healthy diet | Maintain healthy weight,Moderate,All Ages,urgent,Cardiologist,85,3
"I'm suffering from chest pain, irregular heartbeat, swelling in legs, fatigue",Heart Disease,Cardiac procedures | Lifestyle changes | Medications | Regular monitoring,Aspirin 100mg | Atorvastatin 40mg | Clopidogrel 75mg,Healthy diet | Regular exercise | Maintain healthy weight,Moderate,All Ages,urgent,Cardiologist,92,4
"I am experiencing chest pain, swelling in legs, irregular heartbeat, fatigue, shortness of breath",Heart Disease,Medications | Cardiac procedures | Regular monitoring | Lifestyle changes,Aspirin 100mg | Metoprolol 100mg | Atorvastatin 40mg,Healthy diet | Regular exercise | Dont smoke,Severe,Child,urgent,Cardiologist,95,5
"I am experiencing irregular heartbeat, chest pain, fatigue",Heart Disease,Cardiac procedures | Medications | Regular monitoring | Lifestyle changes,Clopidogrel 75mg | Aspirin 100mg | Metoprolol 100mg,Healthy diet | Maintain healthy weight | Dont smoke,Mild,All Ages,urgent,Cardiologist,85,3
"I have been having shortness of breath, swelling in legs, irregular heartbeat, fatigue for a few days",Heart Disease,Lifestyle changes | Regular monitoring | Cardiac procedures | Medications,Metoprolol 100mg | Atorvastatin 40mg | Clopidogrel 75mg,Regular exercise | Healthy diet | Dont smoke,Moderate,Adult,urgent,Cardiologist,87,4
"I have been having swelling in legs, fatigue, irregular heartbeat, chest pain, shortness of breath for a few days",Heart Disease,Medications | Cardiac procedures | Regular monitoring | Lifestyle changes,Aspirin 100mg | Clopidogrel 75mg | Atorvastatin 40mg,Dont smoke | Healthy diet | Maintain healthy weight,Severe,Child,urgent,Cardiologist,95,5
"I've noticed chest pain, fatigue, shortness of breath, swelling in legs, irregular heartbeat recently",Heart Disease,Cardiac procedures | Regular monitoring | Lifestyle changes | Medications,Aspirin 100mg | Clopidogrel 75mg | Metoprolol 100mg,Healthy diet | Regular exercise | Dont smoke,Severe,Child,urgent,Cardiologist,91,5
"I feel swelling in legs, fatigue, irregular heartbeat, shortness of breath",Heart Disease,Lifestyle changes | Cardiac procedures | Regular monitoring | Medications,Aspirin 100mg | Atorvastatin 40mg | Clopidogrel 75mg,Regular exercise | Healthy diet | Dont smoke,Severe,Child,urgent,Cardiologist,95,4
"I am experiencing irregular heartbeat, shortness of breath, chest pain, fatigue",Heart Disease,Lifestyle changes | Medications | Regular monitoring | Cardiac procedures,Atorvastatin 40mg | Aspirin 100mg | Metoprolol 100mg,Regular exercise | Maintain healthy weight | Healthy diet,Severe,All Ages,urgent,Cardiologist,90,4
"I have been having swelling in legs, fatigue, chest pain, shortness of breath for a few days",Heart Disease,Lifestyle changes | Regular monitoring | Medications | Cardiac procedures,Metoprolol 100mg | Clopidogrel 75mg | Aspirin 100mg,Maintain healthy weight | Dont smoke | Healthy diet,Moderate,All Ages,urgent,Cardiologist,95,4
"I have been having fatigue, chest pain, shortness of breath, irregular heartbeat, swelling in legs for a few days",Heart Disease,Lifestyle changes | Cardiac procedures | Regular monitoring | Medications,Aspirin 100mg | Clopidogrel 75mg | Metoprolol 100mg,Regular exercise | Healthy diet | Dont smoke,Severe,All Ages,urgent,Cardiologist,95,5
"I feel shortness of breath, chest pain, fatigue",Heart Disease,Cardiac procedures | Lifestyle changes | Medications | Regular monitoring,Metoprolol 100mg | Aspirin 100mg | Atorvastatin 40mg,Healthy diet | Maintain healthy weight | Dont smoke,Moderate,Adult,urgent,Cardiologist,85,3
"I'm suffering from chest pain, irregular heartbeat, swelling in legs, shortness of breath, fatigue",Heart Disease,Lifestyle changes | Cardiac procedures | Medications | Regular monitoring,Metoprolol 100mg | Aspirin 100mg | Atorvastatin 40mg,Maintain healthy weight | Dont smoke | Healthy diet,Severe,Elderly,urgent,Cardiologist,95,5
"I am experiencing irregular heartbeat, shortness of breath, fatigue, chest pain, swelling in legs",Heart Disease,Lifestyle changes | Regular monitoring | Medications | Cardiac procedures,Metoprolol 100mg | Aspirin 100mg | Atorvastatin 40mg,Maintain healthy weight | Healthy diet | Dont smoke,Severe,All Ages,urgent,Cardiologist,95,5
"I am experiencing chest pain, shortness of breath, fatigue, irregular heartbeat",Heart Disease,Medications | Cardiac procedures | Regular monitoring | Lifestyle changes,Clopidogrel 75mg | Metoprolol 100mg | Aspirin 100mg,Healthy diet | Maintain healthy weight | Dont smoke,Moderate,Child,urgent,Cardiologist,95,4
"I'm suffering from swelling in legs, chest pain, shortness of breath, irregular heartbeat, fatigue",Heart Disease,Cardiac procedures | Medications | Regular monitoring | Lifestyle changes,Clopidogrel 75mg | Atorvastatin 40mg | Aspirin 100mg,Healthy diet | Dont smoke | Maintain healthy weight,Severe,Adult,urgent,Cardiologist,93,5
"I'm suffering from shortness of breath, irregular heartbeat, swelling in legs",Heart Disease,Lifestyle changes | Cardiac procedures | Medications | Regular monitoring,Clopidogrel 75mg | Atorvastatin 40mg | Metoprolol 100mg,Maintain healthy weight | Healthy diet | Dont smoke,Moderate,Elderly,urgent,Cardiologist,85,3
"I am experiencing swelling in legs, chest pain, irregular heartbeat, shortness of breath, fatigue",Heart Disease,Cardiac procedures | Medications | Lifestyle changes | Regular monitoring,Metoprolol 100mg | Aspirin 100mg | Clopidogrel 75mg,Dont smoke | Regular exercise | Healthy diet,Severe,All Ages,urgent,Cardiologist,93,5
"I am experiencing shortness of breath, chest pain, irregular heartbeat",Heart Disease,Medications | Lifestyle changes | Regular monitoring | Cardiac procedures,Aspirin 100mg | Metoprolol 100mg | Atorvastatin 40mg,Healthy diet | Dont smoke | Maintain healthy weight,Moderate,All Ages,urgent,Cardiologist,86,3
"I am experiencing chest pain, fatigue, swelling in legs",Heart Disease,Lifestyle changes | Regular monitoring | Medications | Cardiac procedures,Clopidogrel 75mg | Aspirin 100mg | Atorvastatin 40mg,Dont smoke | Healthy diet | Regular exercise,Moderate,Adult,urgent,Cardiologist,86,3
"I've noticed fatigue, irregular heartbeat, chest pain, swelling in legs recently",Heart Disease,Medications | Cardiac procedures | Regular monitoring | Lifestyle changes,Clopidogrel 75mg | Metoprolol 100mg | Atorvastatin 40mg,Healthy diet | Dont smoke | Regular exercise,Severe,Adult,urgent,Cardiologist,95,4
"I feel shortness of breath, swelling in legs, fatigue, chest pain",Heart Disease,Regular monitoring | Cardiac procedures | Medications | Lifestyle changes,Metoprolol 100mg | Atorvastatin 40mg | Clopidogrel 75mg,Regular exercise | Healthy diet | Dont smoke,Severe,Child,urgent,Cardiologist,92,4
"I've noticed chest pain, irregular heartbeat, fatigue, shortness of breath recently",Heart Disease,Medications | Lifestyle changes | Cardiac procedures | Regular monitoring,Metoprolol 100mg | Clopidogrel 75mg | Aspirin 100mg,Regular exercise | Maintain healthy weight | Dont smoke,Moderate,Adult,urgent,Cardiologist,95,4
"I'm suffering from shortness of breath, fatigue, irregular heartbeat",Heart Disease,Lifestyle changes | Cardiac procedures | Medications | Regular monitoring,Atorvastatin 40mg | Clopidogrel 75mg | Metoprolol 100mg,Regular exercise | Dont smoke | Healthy diet,Moderate,Child,urgent,Cardiologist,82,3
"I've noticed swelling in legs, shortness of breath, chest pain recently",Heart Disease,Lifestyle changes | Medications | Regular monitoring | Cardiac procedures,Metoprolol 100mg | Clopidogrel 75mg | Aspirin 100mg,Maintain healthy weight | Healthy diet | Dont smoke,Moderate,Adult,urgent,Cardiologist,84,3
"I'm suffering from swelling in legs, fatigue, chest pain",Heart Disease,Regular monitoring | Cardiac procedures | Lifestyle changes | Medications,Metoprolol 100mg | Atorvastatin 40mg | Aspirin 100mg,Regular exercise | Maintain healthy weight | Dont smoke,Moderate,Elderly,urgent,Cardiologist,95,3
"I have been having fatigue, shortness of breath, cough with phlegm for a few days",Pneumonia,Hospitalization if severe | Rest | Oxygen therapy | Increase fluid intake,Ceftriaxone 1g | Amoxicillin 1000mg | Levofloxacin 750mg,Get vaccinated | Avoid smoking | Practice good hygiene,Moderate,Adult,urgent,Pulmonologist,81,3
"I feel cough with phlegm, shortness of breath, chills, fatigue, high fever",Pneumonia,Increase fluid intake | Antibiotics | Oxygen therapy | Rest,Ceftriaxone 1g | Amoxicillin 1000mg | Levofloxacin 750mg,Avoid smoking | Practice good hygiene | Get vaccinated,Severe,Adult,urgent,Pulmonologist,95,5
